museum,model_name,name,graph_id,nodegroup_id,nodeid
lh,Affiche_material,Image URL,658f938e-af87-11ec-b19f-9cf387da2c40,65904b62-af87-11ec-b19f-9cf387da2c40,6590fd3c-af87-11ec-b19f-9cf387da2c40
lh,Iconografie,Reference Image URL,4a8edc64-ac0f-11ec-b19f-9cf387da2c40,4a8f5608-ac0f-11ec-b19f-9cf387da2c40,4a8fb99a-ac0f-11ec-b19f-9cf387da2c40
lh,Iconografie_material,Image URL,864d0758-ac0f-11ec-b19f-9cf387da2c40,864da802-ac0f-11ec-b19f-9cf387da2c40,864e702a-ac0f-11ec-b19f-9cf387da2c40
lh,Foto,Reference Image URL,397dc07a-ac0f-11ec-b19f-9cf387da2c40,397e35dc-ac0f-11ec-b19f-9cf387da2c40,397eb99e-ac0f-11ec-b19f-9cf387da2c40
lh,Foto_material,Image URL,758070f4-ac0f-11ec-b19f-9cf387da2c40,7581e38a-ac0f-11ec-b19f-9cf387da2c40,75823c9a-ac0f-11ec-b19f-9cf387da2c40
lh,Brief,Reference Image URL,2f62301a-a5fe-11ec-b19f-9cf387da2c40,2f62f9dc-a5fe-11ec-b19f-9cf387da2c40,2f637858-a5fe-11ec-b19f-9cf387da2c40
lh,Brief_material,Image URL,d1dc3156-a5fe-11ec-b19f-9cf387da2c40,d1dcda84-a5fe-11ec-b19f-9cf387da2c40,d1de14e4-a5fe-11ec-b19f-9cf387da2c40
lh,Tekstdrager,Reference Image URL,26879842-ac0f-11ec-b19f-9cf387da2c40,26882f00-ac0f-11ec-b19f-9cf387da2c40,268894ae-ac0f-11ec-b19f-9cf387da2c40
lh,Tekstdrager_material,Image URL,6473fe5c-ac0f-11ec-b19f-9cf387da2c40,647513fa-ac0f-11ec-b19f-9cf387da2c40,6475845c-ac0f-11ec-b19f-9cf387da2c40
lh,Object,Reference Image URL,11bd6024-af87-11ec-b19f-9cf387da2c40,11bdc79e-af87-11ec-b19f-9cf387da2c40,11be345e-af87-11ec-b19f-9cf387da2c40
lh,Object_material,Image URL,52160284-af87-11ec-b19f-9cf387da2c40,5216df06-af87-11ec-b19f-9cf387da2c40,52174c7a-af87-11ec-b19f-9cf387da2c40
mmb,Iconografie,Reference Image URL,4a8edc64-ac0f-11ec-b19f-9cf387da2c40,4a8f5608-ac0f-11ec-b19f-9cf387da2c40,4a8fb99a-ac0f-11ec-b19f-9cf387da2c40
mmb,Iconografie_material,Image URL,864d0758-ac0f-11ec-b19f-9cf387da2c40,864da802-ac0f-11ec-b19f-9cf387da2c40,12fc5f70-8764-11ed-9451-9cf387da2c40
mmb,Brief,Reference Image URL,2f62301a-a5fe-11ec-b19f-9cf387da2c40,2f62f9dc-a5fe-11ec-b19f-9cf387da2c40,2f637858-a5fe-11ec-b19f-9cf387da2c40
mmb,Brief_material,Image URL,d1dc3156-a5fe-11ec-b19f-9cf387da2c40,d1dcda84-a5fe-11ec-b19f-9cf387da2c40,700c191c-8764-11ed-9451-9cf387da2c40
mmb,Tekstdrager,Reference Image URL,26879842-ac0f-11ec-b19f-9cf387da2c40,26882f00-ac0f-11ec-b19f-9cf387da2c40,268894ae-ac0f-11ec-b19f-9cf387da2c40
mmb,Tekstdrager_material,Image URL,6473fe5c-ac0f-11ec-b19f-9cf387da2c40,c2bb13ac-8764-11ed-9451-9cf387da2c40,c2bb13ac-8764-11ed-9451-9cf387da2c40
